Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
Līvānu novada Centrālās bibliotēkas Rožupes bibliotēka,"Skolas iela 7, Rožupe, Rožupes pag., Līvānu nov., LV-5327",56.33969,26.34169,Maija Jasinska,1953,"Bibliotēka ir kultūras, izglītības un informācijas iestāde. Nodrošina bibliotēkā esošā krājuma un informācijas publisku pieejamību un izmantošanu.",,Jā,399,9745,Jā
Līvānu novada Centrālās bibliotēkas Rudzātu bibliotēka ,"Miera iela 1, Rudzāti, Rudzātu pag., Līvānu nov., LV-5328",56.41845,26.45065,Skaidrīte Brūvere,1923,"Bibliotēka apkalpo Rudzātu pagasta iedzīvotājus - veic bibliotekāro, bibliogrāfisko un informacionālo apkalpošanu.",Pārtraukums no 13:00 līdz 14:00;Mēneša pēdējā sestdiena - Spodrības diena,Jā,309,7675,Jā
Līvānu novada Centrālās bibliotēkas Sutru filiālbibliotēka,"Uzvaras iela 5, Sutri, Sutru pag., Līvānu nov., LV-5334",56.31092,26.52644,Lidija Pintāne,1958,"Sniedz operatīvu un kvalitatīvu informācijas pieeju apmeklētājiem, sekmējot izglītotas, demokrātiskas, darba tirgū konkurētspējīgas sabiedrības attīstību; ;izzina un saglabā pagasta kultūrvēsturi; ;nodrošina pagasta autentiskumu novada un valsts mērogā; ;nodrošina lietotājiem saturīga brīvā laika pavadīšanu.",,,178,9245,Jā
Līvānu novada Centrālās bibliotēkas Turku pagasta bibliotēka,"Gavartiene 1, Turki, Turku pag., Līvānu nov., LV-5312",56.45084,26.26844,Rita Grugule,1950,"Turku pagasta bibliotēka ir Līvānu novada pašvaldības, kultūras, izglītības un informācijas iestāde, kuras darbības mērķis ir veicināt sabiedrības attīstību un izglītību, nodrošinot sakārtotas informācijas pieejamību.",Katra mēneša otrā piektdiena - Spodrības diena. Šajā dienā bibliotēka apmeklētājiem slēgta.,Jā,167,6198,
Līvānu novada Vakara (maiņu) vidusskolas bibliotēka,"Rīgas iela 113/117, Līvāni, Līvānu nov., LV-5316",56.35995,26.17234,Sintija Vaikule,1999,,,,103,4025,Jā
Līvbērzes pagasta bibliotēka,"Jelgavas iela 9A, Līvbērze, Līvbērzes pag., Jelgavas nov., LV-3014",56.69046,23.49196,Velga Petņičenko,,"Līvbērzes pagasta bibliotēka ir Līvbērzes pašvaldības informācijas , kultūras un izglītības iestāde ar grāmatu izsniegšanas punktu Vārpas ciemā. Bibliotēkas apkalpojamā teritorijā atrodas 2 skolas, kurām arī sniedzam savus pakalpojumus. Bibliotēkas galvenais mērķis ir sniegt ikvienam bibliotēkas lietotājam kvalitatīvus bibliotekāros un informacionālos pakalpojumus, nodrošinot mūžizglītības iespējas, kā arī lietderīgu un saturīgu brīvā laika izmantošanu. Bibliotēkas uzdevums ir sekmēt daudzveidīgu resursu un pakalpojumu pieejamību visiem iedzīvotājiem bez vecuma, valodas un citiem ierobežojumiem.  ",12:00-13:00 pusdienas pārtraukums;Trešdiena- metodiskā diena;,,310,7000,Jā
Līvbērzes pamatskolas informācijas centra bibliotēka,"Skolas iela 10, Līvbērze, Līvbērzes pag., Jelgavas nov., LV-3014",56.69001,23.49009,Daiga Podkalna,,"Skola īsteno 3 IZM licencētas izglītības programmas. Pirmsskolas – kods 01011111, Pamatizglītības - kods 21011111, Speciālās pamatizglītības programma izglītojamiem ar mācīšanās traucējumiem – kods 21015611. Informācijas centra bibliotēka nodrošina mācību procesu ar izglītības valsts standartiem un mācību saturam atbilstošu literatūru. Sadarbojas ar mācību priekšmetu skolotājiem, klašu audzinātājiem un metodisko komisiju vadītājiem mācību procesa nodrošināšanā un ārpusklases pasākumu organizēšanā.",Pārtraukums 12:10 līdz 13:10,,191,5774,Jā
Līvu pamatskolas bibliotēka,"Līvu skola, Krīvi, Vaives pag., Cēsu nov., LV-4136",57.27434,25.32489,Inga Andersone,,"Skolas skolēnu nodrošināšana ar mācību literatūru, daiļliteratūru, skolotājus nodrošināšana ar metodisko literatūru. Plašs bērnu un pieaugušo literatūras klāsts. Daudz spēļu un materiālu sākumskolai. Bibliotēkā sniedz uzziņas, palīdz darboties ar datoru, kopē, printē.",,,114,5354,
Lizuma pagasta bibliotēka,"Akācijas, Lizums, Lizuma pag., Gulbenes nov., LV-4425",57.19041,26.37122,Ligita Ozoliņa,1945,,,,498,9091,Jā
Lizuma vidusskolas bibliotēka,"Pils, Lizums, Lizuma pag., Gulbenes nov., LV-4425",57.19245,26.37193,Silvija Štokne,1937,"Kopš 1937. gada pilī ir Lizuma vidusskola.;Skola piedāvā sekojošas izglītības programmas:;1. vispārējās pirmskolas izglītības programmu (kods 010111111),;2. speciālās pirmsskolas izglītības programmu izglītojamajiem ar jauktiem attīstības traucējumiem (01015611),;3. pamatizglītības programmu (21011111).;4. vispārējās vidējās izglītības vispārizglītojošā  virziena programmu (31011011).;5. vispārējās vidējās izglītības matemātikas, dabaszinātņu un tehnikas virziena programmu (31013011). ",,,199,16443,Jā
"LNKC struktūrvienības Lielvārdes pilsētas bibliotēkas filiālbibliotēka ""LĀČPLĒSIS""","Raiņa iela 50-9, Lielvārde, Lielvārdes nov., LV-5070",56.71378,24.83159,Monika Rudzīte,1968,Ģimenes bibliotēka ar daudzpusīgu krājumu bērniem un pieaugušajiem.,"Katra mēneša pēdējā ceturtdiena - metodiskā darba diena (bibliotēka apmeklētājiem ir slēgta). Jūnijā, jūlijā un augustā - sestdienās bibliotēka ir slēgta.",,707,9441,Jā
LR Saeimas bibliotēka,"Jēkaba iela 11, Rīga, LV-1050",56.9512,24.10464,Sarma Šmite,1991,"Saeimas bibliotēkas galvenais uzdevums ir nodrošināt Saeimas deputātus un darbiniekus ar viņu darbam nepieciešamajiem informācijas resursiem. Lai arī Saeimas bibliotēka ir slēgta tipa bibliotēka, tā savu iespēju robežās apkalpo personas, kas nav Saeimas deputāti vai darbinieki.",Saeimas bibliotēka ir atvērta līdz Saeimas plenārsēžu darba beigām.;,,416,12856,Jā
Lubānas novada Meirānu bibliotēka,"Meirānu Stacija, Meirāni, Indrānu pag., Lubānas nov., LV-4826",56.8315,26.61084,Dina Sestule,1931,"Meirānu bibliotēka apmeklētājiem sniedz bezmaksas bibliotekāros, bibliogrāfiskos un informatīvos pakalpojumus, neierobežotu literatūras un informācijas saņemšanu, organizē literatūru un lasīšanu popularizējošus pasākumus, nodrošina bibliotēku kopkataloga veidošanu, brīvpieejas nterneta resursu izmantošanu un maksas kopēšanas pakalpojumus.",,,79,4276,Jā
Lubānas pilsētas bibliotēka,"Oskara Kalpaka iela 2, Lubāna, Lubānas nov., LV-4830",56.90293,26.72231,Inguna Kaņepone,1924,"Lubānas pilsētas bibliotēka ir pašvaldības kultūras, izglītības un informācijas iestāde, kas veic iespieddarbu, elektronisko izdevumu un citu dokumentu uzkrāšanu, sistematizēšanu, un nodrošina to bezmaksas pieejamību un izmantošanu jebkuram apmeklētājam, neatkarīgi no dzīves vietas, vecuma vai jebkādiemcitiem nosacījumiem.","Lubānas pilsētas bibliotēkas Ārējais apkalpošanas punkts ""Baloži"" Indrānu ciemā,  atvērts otrdienās no 9.30-13.30",,773,20209,Jā
Lubānas vidusskolas bibliotēka,"Krasta iela 6, Lubāna, Lubānas nov., LV-4830",56.90328,26.71813,Santa Solovjeva,,,,,210,20094,Jā
Lūcijas Rancānes Makašānu amatu vidusskolas bibliotēka,"Makašānu amatu vidusskola, Iugulova, Vērēmu pag., Rēzeknes nov., LV-4604",56.58349,27.31574,Ilze Arbidāne,,,,,110,8424,Jā
Ludzas 2. vidusskolas bibliotēka,"P. Miglinīka iela 34A, Ludza, Ludzas nov., LV-5701",56.53854,27.71778,Zinaīda Buliga,,"Bibliotēka ir skolas struktūrvienība, kura darbojas saskaņā ar Bibliotēku likumu ,IL,VIL, LR MK noteikumiem, ir skolas kultūras un informācijas centrs, kas nodrošina brīvu pieeju dažāda veida informācijai izglītības programmu īstenošanā, mācību literatūras un informācijas pieejamību skolēniem, pedagogiem u.c. interesentiem ,veic izglītības programmu īstenošanai nepieciešamo mācību grāmatu, metodiskās literatūras u.c.  komplektēšanu,uzskaiti,apstrādi,sistematizēšanu,kataloģizēšanu, klasificēšanu un uzglabāšanu. Bibliotēkā ir mācību grāmatu noliktava, abonements un lasītava, ar ko tiek nodrošināta apmeklētājiem bibliotekārā un informatīvā apkalpošana,kura veicina patstāvīgās mācīšanas iemaņu veidošanu, lasīšanas veicināšanas prasmes u.c. projektus.  ;",,Jā,426,19568,Jā
Ludzas Mūzikas pamatskolas bibliotēka,"Stacijas iela 45, Ludza, Ludzas nov., LV-5701",56.5431,27.72016,Sarmīte Stapule,1958,Līdzdalība skolas licencēto un akreditēto izglītības programmu īstenošanā atbilstoši valsts izglītības standartiem un mācību priekšmetu programmām. ,,,248,16529,Jā
Ludzas novada vakara vidusskolas bibliotēka,"1. maija iela 16A, Ludza, Ludzas nov., LV-5701",56.54585,27.72435,Ļubova Korobova,1948,Vispārējā vidējā izglītība,,,346,8635,Jā
Ludzas pilsētas galvenā bibliotēka,"Stacijas iela 41, Ludza, Ludzas nov., LV-5701",56.5436,27.71992,Inta Kušnere,1883,"Ludzas pilsētas galvenā bibliotēka ir Ludzas novada pašvaldības kultūras, izglītības un informācijas iestēde, kas veic pasaules kultūras mantojuma iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un tās izmantošanu. ",Katra mēneša 15. datumā - spodrības diena,,2879,50648,Jā
Ludzas pilsētas ģimnāzijas bibliotēka,"Blaumaņa iela 4, Ludza, Ludzas nov., LV-5701",56.54121,27.71687,Elita Romanovska,1921,"Skolas bibliotēka ""Pūces māja"" palīdz īstenot skolā realizētās izglītības programmas, nodrošinot izglītojamos um pedagogus  ar mācību un citu nepieciešamo  literatūru.",,Jā,607,63110,Jā
Lutriņu pagasta bibliotēka,"Pagasta māja, Lutriņi, Lutriņu pag., Saldus nov., LV-3861",56.72635,22.38342,Ligita Popsujēviča,,"Strādājot pēc 2017.gadā izvirzītajiem mērķiem un radot inovatīvus kultūras produktus, sagaidot Lutriņu pagasta 195.gadadienu, bibliotēka ir popularizējusi savu tēlu  ne tikai pagastā, bet Saldus novadā un Latvijā:;- Novadpētniecībā Hercoga Jēkaba nedēļa; Baltā galdauta svētki; foto konkurss” 195 zibšņi Lutriņos”;” Dzejas pietura 77.Māris Čaklais”;;- Radošas literāras darbnīcas bērniem pagasta jubilejas svētkos, Patriotu nedēļā; radošie trešdienu vakari b-kā, kolekciju izstādes;;-  VKKF atbalstītie projekti “Tabletes vietā – grāmata”, 2., 3.turpinājumi;;Jaunas mēbeles – grāmatu izstāžu plaukts;;","Piektdiena - metodiskais darbs-pasākumu organizēšana, dokumentu kārtošana, grāmatu pienešana pansionātā, konsultācijas Saldus pilsētas bibliotēkā, SBA. ja vadītāja ir uz vietas bibliotēkā, lasītājiem grāmatas tiek apmainītas un datorizdrukas.",,304,7118,Jā
Lutriņu pamatskolas bibliotēka,"Skolas iela 1, Lutriņi, Lutriņu pag., Saldus nov., LV-3861",56.73065,22.3964,Gunta Romule,2004,,,,60,4845,
Lūznavas pagasta bibliotēka,"Pils iela 8, Lūznava, Lūznavas pag., Rēzeknes nov., LV-4627",56.35768,27.26043,Nadežda Tarasova,1951,"Bibliotēka ir izglītības, kultūras, informācijas centrs. Nodrošina brīvas, plašas informācijas pieejamību, sekmē izglītības iespējas",,Jā,147,7373,Jā
Ļaudonas pagasta bibliotēka,"Avotu iela 3, Ļaudona, Ļaudonas pag., Madonas nov., LV-4862",56.70401,26.19272,Ieva Skuške,,"Ļaudonas bibliotēkas misija ir sniegt garīgo, emocionālo labumu lasītājiem, apmierinot viņu prasības un vēlmes. Bibliotēkas uzdevums ir piesaistīt lasītājus ar interesantām grāmatām, organizēt pasākumus, darbojoties ar internetu, atrast sev vajadzīgo informāciju.","Trešdiena- Metodiskā diena, tehniskais darbs.",,295,7911,Jā
Ļaudonas pagasta Sāvienas bibliotēka,"Liepas, Ļaudonas pag., Madonas nov., LV-4862",56.72081,26.19483,Gunta Matīsa,1912,"Sāvienas bibliotēka ir Ļaudonas pagasta Sāvienas mikrorajona vienīgais kultūras centrs. Bibliotēka ir pašvaldības izglītojoša, informatīva, un kultūras iestāde, kas nodarbojas ar grāmatu, žurnālu apmaiņu, izstāžu, informatīvo dienu, tematisko pasākumu organizēšanu un rīkošanu. Nodrošina piekļuvi visiem interesentiem pie datora, palīdz ar informācijas meklēšanu.",,,68,5590,Jā
Madlienas vidusskolas bibliotēka,"Skola, Madliena, Madlienas pag., Ogres nov., LV-5045",56.84804,25.14761,,,,,,254,16654,
Madonas novada bibliotēka,"Skolas iela 12, Madona, Madonas nov., LV-4801",56.85269,26.21021,Imelda Saulīte,1923,"Madonas novada bibliotēka darbojas kā metodiski konsultatīvs centrs 33 Madonas reģiona - piecu novadu - Madonas, Cesvaines, Ērgļu, Lubānas un Varakļānu pilsētu un pagastu pašvaldību bibliotēkām, attīstās kā daudzfunkcionāla informācijas, izglītības un saturīga laika pavadīšanas iestāde, vērsta pakalpojumu pieejamības un kvalitātes attīstībai, orientēta uz sadarbību.",Mēneša pēdējā trešdiena - Spodrības diena,Jā,2690,62234,Jā
Madonas pilsētas vidusskolas bibliotēka,"Valdemāra bulvāris 6, Madona, Madonas nov., LV-4801",56.85529,26.2171,Elita Kalniņa,,"Bibliotēkas darbības mērķis ir piedalīties (līdzdarboties) skolas licencētajās izglītības programmās noteikto mērķu īstenošanā atbilstoši valsts izglītības standartiem un mācību priekšmetu programmām. ;To īstenošanai nepieciešamo iespieddarbu un citu dokumentu komplektēšana, uzskaite, apstrāde, uzglabāšana, kataloģizēšana un klasificēšana;;bibliogrāfisko un bibliotekāro pakalpojumu sniegšana.;Nodrošināt brīvu pieeju informācijai, lai uzlabotu skolēnu un skolotāju zināšanu kvalitāti un celtu kultūras līmeni;;attīstīt skolēnu informācijprasmes;;veicināt skolēnu patstāvīgas mācīšanās iemaņu veidošanos;;veicināt skolēnu prasmi kritiski izvērtēt no dažādiem avotiem iegūtu informāciju;;īstenot skolēnu lasīšanas veicināšanas programmas un projektus;;darboties kā līdzvērtīgai partnerei vietējā, rajona un valsts mēroga bibliotēku tīklā;;atbalstīt un piedalīties izglītojošos pasākumos un programmās, vajadzības gadījumā ierosināt šādu pasākumu organizēšanu.;",,Jā,780,20340,Jā
Madonas Valsts ģimnāzijas bibliotēka,"Valdemāra bulvāris 2A, Madona, Madonas nov., LV-4801",56.85455,26.21973,Gita Eiduka,,"Bibliotēkas darbības galvenais mērķis ir līdzdalība Madonas Valsts ģimnāzijas licencēto izglītības programmu noteikto mērķu īstenošanā atbilstoši valsts izglītības standartiem un mācību priekšmetu programmām.;1. Bibliotēkas darbības pamatvirzieni : ;1.1.izglītības programmu īstenošanai nepieciešamo iespieddarbu un citu dokumentu komplektēšana, uzskaite, apstrāde, uzglabāšana, kataloģizēšana un klasificēšana; ;1.2. bibliogrāfisko un bibliotekāro pakalpojumu sniegšana. ;2. Bibliotēkas galvenie uzdevumi: ;2.1. audzināt skolotājos un skolēnos apziņu par intelektuālās brīvības un informācijas pieejamības nozīmi demokrātijas attīstībā, veidot un nostiprināt skolēnu pilsonisko apziņu, piederības izjūtu Latvijas valstij un sabiedrībai;;2.2. nodrošināt brīvu pieeju informācijai, lai uzlabotu skolēnu un skolotāju zināšanu kvalitāti un celtu kultūras līmeni;;2.3. attīstīt skolēnu informācijprasmes;;2.4. veicināt skolēnu patstāvīgas mācīšanās iemaņu veidošanos;;2.5.veicināt skolēnu prasmi kritiski izvērtēt no dažādiem avotiem iegūtu informāciju;;2.6. darboties kā līdzvērtīgai partnerei Madonas, Madonas novada un valsts mēroga bibliotēku un informācijas tīklā;;2.7. atbalstīt un piedalīties izglītojošos pasākumos un programmās, vajadzības gadījumā ierosināt šādu pasākumu organizēšanu.;",,,305,15502,Jā
Majoru vidusskolas bibliotēka,"Rīgas iela 3, Jūrmala, LV-2015",56.9701,23.80473,Asja Solveiga Priedīte,,,,,478,14496,Jā
Mākoņkalna pagasta bibliotēka,"Skolas iela 3, Lipuški, Mākoņkalna pag., Rēzeknes nov., LV-4626",56.29028,27.43736,Lilita Kudrjavceva,1957,"Bibliotēka ir kultūras, izglītības un informācijas iestāde, kura nodrošina tajā esošo resursu un informācijas brīvu publisku pieejamību un izmantošanu, veic kultūrmantojuma popularizēšanu, atbalsta izglītības veicināšanu un brīvā laika saturīgu pavadīšanu.",pārtraukums 12:00-12:30,,168,3490,Jā
Malienas bibliotēka,"Brenci, Brenci, Malienas pag., Alūksnes nov., LV-4359",57.36283,27.16281,Daina Baltā,1896,"Malienas bibliotēka ir Alūksnes novada pašvaldības Malienas pagasta pārvaldes struktūrvienība-kultūras, izglītības un informācijas iestāde, kas nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam pagasta iedzīvotājam. Veic kultūras mantojuma iespieddarbu un citu dokumentu uzkrāšanu, sistematizēšanu un saglabāšanu. ",Pusdienas pārtraukums 12:00-12.30,,154,4828,Jā
Malienas pamatskolas bibliotēka,"Brenci, Brenci, Malienas pag., Alūksnes nov., LV-4359",57.36283,27.16281,Gunta Vancāne,,,,,72,3140,
Malnavas koledžas bibliotēka,"Kļavu iela 17, Malnava, Malnavas pag., Kārsavas nov., LV-5750",56.77465,27.71935,Inta Miņina,1921,"Mācību iestādes bibliotēka, tās struktūrvienība. informatīvi nodrošina koledžas studiju un pētnieciskos procesus atbilstoši studiju programmu virzieniem, līdzdarbojas profesionālās vidusskolas izglītības programmu īstenošanā. Zinātniskās un mācību literatūras krājumu, daiļliteratūru, periodiskos izdevumus, interneta pieeju izmanto koledžas studenti, profesionālās vidusskolas audzēkņi, lektori, skolotāji, darbinieki, citi interesenti, arī pagasta un novada iedzīvotāji. ",,Jā,926,20044,Jā
Malnavas pagasta Nesteru bibliotēka,"Nesteru bibliotēka, Nesteri, Malnavas pag., Kārsavas nov., LV-5717",56.82886,27.77377,Zinaīda Kaupuže,1955,"Bibliotēka ir kultūras, informācijas , izglītības un sabiedriskās saskarsmes centrs. Bibliotēkas mērķis ir nodrošināt visiem lietotājiem brīvu pieejamību grāmatām, presei un darbam ar datoriem un bezmaksas nternetu.","Brīvdiena- trešdiena, sestdiena, svētdiena",Jā,56,3036,Jā
Mālpils novada bibliotēka,"Nākotnes iela 5, Mālpils, Mālpils nov., LV-2152",57.01002,24.9554,Ausma Čīma,1922,"Bibliotēka ir pašvaldības kultūras, izglītības un informācijas iestāde, kas veic iespieddarbu un citu dokumentu uzkrāšanu,sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku brīvpieeju un tās izmantošanu un bibliotēkas pakalpojumu sniegšanu. Bibliotēkas darbība tiek finansēta no pašvaldības budžeta. ;Bibliotēka piedāvā - universāla satura grāmatu fondu pieaugušajiem un bērniem, preses izdevumus, novadpētniecības materiālus, internetu, kopēšanas, printēšanas un skenēšanas  pakalpojumus, kā arī literatūras popularizēšanas pasākumus, organizē ekskursijas pa kultūrvēsturiskām vietām Latvijā.",,Jā,647,11370,Jā
Mālpils novada Sidgundas bibliotēka,"Zvaigžņu iela 5-16, Sidgunda, Mālpils nov., LV-2152",56.9613,24.92036,Irene Zutere,1945,"Mālpils novada Sidgundas bibliotēka piedāvā brīvas pieejas grāmatu krājumu - daiļliteratūra, nozaru literatūra, bērnu grāmatas, enciklopēdijas, preses izdevumi. Pieejams bezmaksas internets. Ir kopēšanas un printēšanas pakalpojumi.",Pusdienas pārtraukums 12:00 - 13:00,,98,4544,Jā
Mālpils novada vidusskolas bibliotēka,"Sporta iela 1, Mālpils, Mālpils nov., LV-2152",57.00513,24.95753,Anda Vecroze,1982,,,,402,27513,Jā
Maltas pagasta bibliotēka,"Stacijas iela 24, Malta, Maltas pag., Rēzeknes nov., LV-4630",56.35349,27.15356,Ērika Grigorjeva,1945,"Bibliotēka ir izglītības, kultūras, informācijas un atpūtas centrs. Bibliotēka nodrošina brīvas, plašas informācijas pieejamību, sekmē izglītības iespējas, veicina radošu brīvā laika izmantošanu  ",Katra mēneša pirmā ceturtdiena - spodrības diena. ,,836,17658,Jā
Maltas speciālās  internātpamatskolas  bibliotēka,"Rozentovas iela 9, Malta, Maltas pag., Rēzeknes nov., LV-4630",56.34213,27.18248,Elīna Kazaka,1960,"Bibliotēkas galvenais darbības mērķis ir nodrošināt mācību procesu ar izglītības valsts standartiem un mācību saturam atbilstošu literatūru. Efektīvi izmantot esošos līdzekļus mācību procesā, būt par sadarbības centru, lai uzlabotu skolēnu zināšanu kvalitāti un kultūras iespējas, kā arī  ar jaunākās literatūras, informācijas palīdzību sekmēt pedagogu profesionālās meistarības pilnveidi",,Jā,97,10515,Jā
Maltas vidusskolas bibliotēka,"Skolas iela 5, Malta, Maltas pag., Rēzeknes nov., LV-4630",56.3473,27.15699,Anna Gviļova,2016,"Bibliotēka ir Maltas 1.vidusskolas struktūkvienība.Tās darbība tiek organizēta un virzīta, lai papildinātu un pilnveidotu izglītības darba saturu skolā kopumā.",,Jā,735,20072,Jā
Maltas vidusskolas struktūrvienības Liepu pamatskolas bibliotēka ,"Laizāni, Ozolaines pag., Rēzeknes nov., LV-4633",56.4195,27.21676,Gaļina Bogdanova,1932,,,,88,4726,Jā
Mālupes pagasta bibliotēka,"Austriņi, Mālupe, Mālupes pag., Alūksnes nov., LV-4358",57.33625,27.23302,Daiga Babule,1916,"Bibliotēkas galvenais mērķis ir bibliotēkas lietotāju nodrošināšana ar kvalitatīviem informācijas tehnoloģiju pakalpojumiem, jaunākās nozaru, daiļliteratūras un bērnu literatūras izdevumiem un preses informāciju.",,Jā,248,6792,Jā
Maļinovas pagasta bibliotēka,"Rēzeknes iela 29A, Maļinova, Maļinovas pag., Daugavpils nov., LV-5459",55.99272,26.69132,Elvīra Kokina,1952,"Maļinovas pagasta bibliotēka ir Maļinovas pagasta pārvaldes struktūrvienība. Maļinovas pagasta bibliotēka ir kultūras, izglītības un informācijas iestāde, kuras darbības mērķis ir attīstīt bibliotēku par izglītības, informācijas, kultūras un sabiedriskas saskarsmes centru, nodrošināt operatīvus un kvalitatīvus vietējas sabiedrības vajadzībām atbilstošus informācijas pakalpojumus, nodrošināt pilnvērtīgu un kvalitatīvu krājumu attīstību un komplektēšanu, pilnveidot un attīstīt tradicionālo un elektronisko resursu izmantošanu. ",Pusdienu pārtraukums - 12:00 - 13:00,Jā,251,3052,Jā
Mārcienas pagasta bibliotēka,"Jaunā iela 1, Mārciena, Mārcienas pag., Madonas nov., LV-4852",56.77526,26.10124,Valērija Škaļikova,1904,"Bibliotēkas esošā un potenciālā misija ir iekļauties sabiedrības informatizācijas procesā, veicināt uz zināšanām balstītas sabiedrības attīstību, izmantot jauno tehnoloģiju- internets,e-pasts, abonēto datu bāžu piedāvājumu. ",,,176,6157,Jā
Māriņkalna bibliotēka,"Pagastmāja, Māriņkalns, Ziemera pag., Alūksnes nov., LV-4332",57.49104,26.97657,Rudīte Jaunzema,1944,"    Ziemera pagasta Māriņkalna bibliotēkas misija - būt starpniekam starp sabiedrību un zināšanām, veicināt informētas sabiedrības veidošanos.Tās mērķis ir celt iedzīvotāju dzīves kvalitāti, piedāvāt mūsdienām atbilstošus pakalpojumus.Pieejamais literatūras krājums un interneta iespējas palīdz bibliotēkas apmeklētājiem dzīvot pilnvērtīgāk, attīstīt prasmes un pilnveidot intereses.",,,253,5679,Jā
Mārkalnes pagasta bibliotēka,"Pūcīte, Mārkalne, Mārkalnes pag., Alūksnes nov., LV-4351",57.49113,27.19013,Sanita Silirova,1945,"Mārkalnes pagasta bibliotēka ir svarīgs kultūras un informācijas centrs pagastā. ;Tās darbības mērķis ir iedzīvotāju bibliotekārā  un informatīvā apkalpošana. ;Bibliotēka nav tikai grāmatu krātuve, bet arī elektronisko pakalpojumu sniedzēja,; bibliotekāro pasākumu piedāvātāja dažādu vecuma iedzīvotājiem.; Bibliotekāre rūpējas, lai bibliotēkā vide būtu sakārtota, izziņu rosinoša.; Tiek domāts par jaunu bibliotēkas apmeklētāju piesaisti.",,Jā,176,6035,Jā
Mārupes novada Domes Mazcenas bibliotēka,"Mazcenu aleja 33/3, Jaunmārupe, Mārupes nov., LV-2166",56.88239,23.93907,Inta Šalme,1948,"Mārupes novada Domes Mazcenas bibliotēka ir Mārupes novada pašvaldības iestāde, kas nodrošina kvalitatīvu bibliotekāro, bibliogrāfisko un informatīvo apkalpošanu ikvienam novada iedzīvotājam un visiem interesentiem. Bibliotēka ir vietējās sabiedrības informācijas aprites vieta, kas veicina novada sabiedrības izaugsmi un piedalās mūžizglītības procesā. Bibliotēka ir vienīgā vietējas nozīmes publiskā bibliotēka novadā. ",Katra mēneša pirmā trešdiena – Spodrības diena. ,Jā,1809,15168,Jā
Mārupes novada Skultes sākumskolas bibliotēka,"Skultes iela 25, Skulte, Mārupes nov., LV-2108",56.91976,23.95384,Gaļina Grizāne,1987,"2016. gadā tika optimizēts bibliotēkas krājuma izvietojums, izveidojot īpašu vietu krājuma bērnu literatūrai.;Pēc Skultes ciemata iedzīvotāju lūguma tika sniegta bezatlīdzības palīdzība dažādu dokumentu  sastādīšanā, kā arī tulkošanā.;2016. gadā bibliotēka sāka sniegt savus pakalpojumus ģimenēm, kas bija atgriezušās, piem., no Anglijas, kā arī atbraukušas no Lietuvas. Bibliotēkā atbalstu saņēma arī  skolas absolventi, kas  izstrādāja projektus. ;Novadpētniecības ekspozīcija tika papildināta ar bijušā Skultes garnizona tehniskā darbinieka Viktora  Avotiņa atraitnes atnestajām vērtīgajām dokumentārajām liecībām, no kurām tika izveidots atsevišķs plakātstends. Tika pabeigta Mirdzas Leitānes dzīvesgājuma izpēte un sagatavots manuskripts izdošanai.;Bibliotēkā notika arī interesantas bibliotekārās stundas - tika iekārtotas jaunas tematiskās izdevumu kopas – “Apceļo Latviju!”, “Es un ES”. Pirmo reizi tieši bibliotēkā visiem skolēniem un vecākajām PII grupā tika rīkota kopīga viktorīna par Latviju, kurā  ļoti aktīvi piedalījās sešgadnieki. Visaugstāk tika novērtēta bibliotekārā stunda ""Kāds bija, kāds ir un kāds būs Lačplēsis?”, kura tika novadīta visām klasēm un PII grupām un kuras laikā visi klausījās fragmentus no Andreja Pumpura eposa “Lāčplēsis”.  ;Jau otro gadu  ļoti populāra bija bibliotēkā organizētā putnu vērošana (putnošana) vietnē www.dabaskati.lv, kas ilga 2 mēnešus.",,,,8011,Jā
Mārupes pamatskolas bibliotēka,"Viskalnu iela 7, Tīraine, Mārupes nov., LV-2167",56.88502,24.06428,Sigita Sakoviča,1949,,,Jā,,7709,Jā
Mārupes vidusskolas bibliotēka,"Kantora iela 97, Mārupe, Mārupes nov., LV-2167",56.91879,24.03612,Evija Linga,1911,,Pārtraukums 11:40 - 12:20,Jā,1300,37402,Jā
Māteru Jura Kazdangas pamatskolas  bibliotēka,"Ķiršu gatve 1, Kazdanga, Kazdangas pag., Aizputes nov., LV-3457",56.72368,21.72875,Aija Dreimane,,Pamatskola,,,142,8116,
Matīšu pamatskolas bibliotēka,"Skolas iela 22, Matīši, Matīšu pag., Burtnieku nov., LV-4210",57.69512,25.15224,Dace Alsiņa,1934,"Sadarbojas 2 juridiski un finansiāli neatkarīgas bibliotēkas (Matīšu pamatskolas un pašvaldības biblotēka), pilnveidojot un paplašinot pagasta iedzīvotāju bibliotekāro un informacionālo apkalpošanu.",Katra mēneša pirmā piektdiena Spodrības diena - bibliotēka slēgta.,Jā,111,7063,Jā
