Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
Aknīstes novada Asares pagasta bibliotēka,"Vecmuiža, Asare, Asares pag., Aknīstes nov., LV-5210",56.11822,25.88513,Antoņina Dzenuška,1956,"Bibliotēka ir informācijas un komunikācijas centrs, kultūras un izglītības iestāde. Zinību avots visiem pagasta iedzīvotājiem. Brīva  un vienlīdzīga iespēja piekļūt vispusīgai informācijai un rast veldzi dvēselei",Pārtraukums:  12:00 - 12:30  Otrdienās Ancenē Spodrās dz.3 10:00-12:00       ,,154,6991,Jā
Aknīstes novada Gārsenes pagasta bibliotēka,"Labieši, Gārsene, Gārsenes pag., Aknīstes nov., LV-5218",56.09945,25.80993,Inita Lejiņa,1947,"Aknīstes novada Gārsenes pagasta bibliotēka ir Aknīstes novada pašvaldības kultūras, informācijas un izglītības iestāde, kuras darbība vērsta uz nepārtrauktu plānveidīgu attīstību ar mērķi veikt iespieddarbu un visa veida dokumentu uzkrāšanu, sistematizēšanu un saglabāšanu, lai nodrošinātu esošās informācijas publisku pieejamību un izmantošanu",Pusdienlaiks: 12:00 - 12:30,,211,6976,Jā
Aknīstes vidusskolas bibliotēka,"Skolas iela 19, Aknīste, Aknīstes nov., LV-5208",56.16299,25.73614,Iveta Strika,1953,,,Jā,143,12017,Jā
Alberta koledžas bibliotēka,"Skolas iela 22-5, Rīga, LV-1010",56.95817,24.12003,,,,,,,0,
Aleksandrovas  internātpamatskolas  bibliotēka,"Aleksandrovas skola, Aleksandrova, Konstantinovas pag., Dagdas nov., LV-5680",56.0825,27.4287,,,,,,101,5195,
Alfrēda Kalniņa Cēsu mūzikas vidusskolas bibliotēka,"Raunas iela 12-2  Cēsis, Cēsu nov., LV-4101",57.30923,25.25497,,,,,Jā,120,16914,Jā
Allažu pamatskolas bibliotēka,"Skolas iela 5, Allaži, Allažu pag., Siguldas nov., LV-2154",57.05784,24.84727,Ivita Vītola,,,,,127,12113,
Alojas Ausekļa vidusskolas bibliotēka,"Ausekļa iela 1, Aloja, Alojas nov., LV-4064",57.76459,24.87689,Aiva Nemme,1951,"Skolas bibliotēka sniedz pakalpojumus bibliotēkas lietotājiem: skolēniem, viņu vecākiem un skolotājiem, nodrošinot lasītājus ar vajadzīgo mācību, metodisko, nozaru un daiļliteratūru. Skolas bibliotēkas darbs ir ciešā saistībā ar mācību darbu. Sadarbojamies ar Alojas pilsētas bibliotēku. Organizējam bibliotekārās stundas, tematiskos pasākumus, izstādes.",,Jā,309,15355,
Alojas novada uzņēmējdarbības atbalsta centrs - bibliotēka SALA,"Liepu iela 3, Ungurpils, Alojas pag., Alojas nov., LV-4064",57.77101,24.81909,Ieva Prauliņa,1943,"Bibliotēka veic dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu un saglabāšanu. Nodrošina informācijas publisku pieejamību, veicina kultūrvides attīstību.",Pārtraukums darbdienās 14:00 līdz 15:00.   ,Jā,220,5531,Jā
Alojas pilsētas bibliotēka,"Jūras iela 14, Aloja, Alojas nov., LV-4064",57.76696,24.88298,Sarmīte Frīdenfelde,1923,"Alojas pilsētas bibliotēka veic informācijas, izglītības, kultūras, sociālās un izklaides funkcijas, aktīvi iesaistās iedzīvotāju intelektuālās, profesionālās un mūžizglītības nodrošināšanā. ;Svarīgākie bibliotēkas darbības virzieni - kvalitatīva krājuma un informācijas resursu veidošana, pakalpojumu pilnveide, novadpētniecības darbs.",Katra mēneša pēdējā ceturtdiena - spodrības diena.,Jā,701,14884,Jā
Alsungas novada bibliotēka,"Raiņa iela 2, Alsunga, Alsungas nov., LV-3306",56.98194,21.56526,Rasma Cīrule,1923,"Publiska bibliotēka. kura nodrošina brīvu pieeju dažādiem informācijas resursiem, sniedzam atbalstu visa veida izglītībai un piedāvājam saturīgu brīvā laika pavadīšanas iespēju.",,,396,12196,Jā
Alsungas vidusskolas bibliotēka,"Skolas iela 11, Alsunga, Alsungas nov., LV-3306",56.97825,21.56849,Ligita Stašaite,,,,,,12038,
Alsviķu  bibliotēka,"Kultūras nams-Alsviķi, Alsviķi, Alsviķu pag., Alūksnes nov., LV-4333",57.44376,26.93807,Sarmīte Meļķe,1955,"Alsviķu bibliotēka ir Alūksnes novada pašvaldības Alsviķu pagasta pārvaldes struktūrvienība, kas Bibliotēku likumā noteiktā kārtībā reģistrēta Latvijas Republikas Kultūras ministrijā un veic pasaules kultūras mantojuma – iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas pieejamību un tās izmantošanu. Bibliotēkas darbību finansē no Alūksnes novada pašvaldības budžeta līdzekļiem.",,,200,6934,Jā
Alūksnes novada vidusskolas bibliotēka,"Kanaviņu iela 14, Alūksne, Alūksnes nov., LV-4301",57.41388,27.058,,,Līdzdalība izglītības iestādes licencētajās izglītības programmās noteikto mērķu īstenošanā atbilstoši valsts izglītības standartiem un mācību priekšmetu programmām.,,Jā,,0,
Alūksnes pilsētas bibliotēka,"Lielā Ezera iela 24, Alūksne, Alūksnes nov., LV-4301",57.4208,27.04405,Iveta Ozoliņa,1944,"Bibliotēka ir informācijas, izglītības, kultūras, sabiedriskās saskarsmes centrs Alūksnes novada cilvēkiem, tā nodrošina lietotāju pieprasījumam atbilstošus daudzveidīgus pakalpojumus, sniedz atbalstu vietējās sabiedrības attīstībā, mūžizglītībā. Alūksnes pilsētas bibliotēka darbojas kā reģiona galvenā bibliotēka un ir metodiskais un konsultatīvais centrs Alūksnes un Apes novadu bibliotēkām.",,,2029,40068,Jā
Alūksnes pilsētas sākumskolas bibliotēka,"Lielā Ezera iela 26, Alūksne, Alūksnes nov., LV-4301",57.42086,27.04302,Māra Vimba,1993,Sākumskolas izglītība,,,411,13289,
"Alūksnes rajona pašvaldības SIA ""Alūksnes slimnīca"" bibliotēka","Pils iela 1, Alūksne, Alūksnes nov., LV-4301",57.43712,27.03993,,,,,,80,0,
